15:32:10 ,  , AT+SEND=1,Network not joined,ERROR ,
15:32:17 ,  , AT+JOIN,,
15:32:22 ,  , Successfully joined network,OK ,
15:32:26 ,  , AT+ACK=1, OK ,
15:32:28 ,  , AT+SEND=1,,
15:32:32 ,  ,  OK ,
15:32:36 ,  , AT+NJS=?,AT+NJS: (0;1),OK ,
15:32:38 ,  , AT+PING=?,AT+PING: (-140-0);(-20.0-20.0),OK ,
15:32:40 ,  , AT+NLC=?,AT+NLC: (-20.0-20.0);(1-),OK ,
15:32:44 ,  , AT+NJS=?,AT+NJS: (0;1),OK AT+PING=?,AT+PING: (-140-0);(-20.0-20.0),OK AT+NLC=?,AT+NLC: (-20.0-20.0);(1-),OK ,
15:34:02 ,  , AT+SEND=1,,
15:34:05 ,  ,  OK ,
15:34:42 ,  , AT+SEND=1,,
15:34:45 ,  ,  OK ,
15:35:26 ,  , AT+SEND=1,,
15:35:29 ,  , ACK not received,ERROR ,
15:44:48 ,  , AT+SEND=1,,
15:44:52 ,  , ACK not received,ERROR ,
15:44:54 ,  , AT+JOIN,,
15:44:57 ,  , Failed to join network,ERROR ,
15:45:00 ,  , AT+JOIN,Join backoff,ERROR ,
15:45:04 ,  , AT+ACK=1, OK ,
15:45:09 ,  , AT+SEND=1,Network not joined,ERROR ,
15:45:12 ,  , AT+JOIN,Join backoff,ERROR ,
